No.,Time,Source,Destination,Protocol,Length,Info
1,0,192.168.1.10,192.168.1.40,TCP,60,64516  >  44818 [ACK] Seq=1 Ack=1 Win=8142 Len=0
2,0.000222,192.168.1.40,239.192.5.255,CIP I/O,98,"Connection: ID=0x00698000, SEQ=0054038750"
3,0.000867,192.168.1.30,192.168.1.20,CIP I/O,86,"Connection: ID=0x00774052, SEQ=0045615789"
4,0.001286,192.168.1.20,192.168.1.30,CIP I/O,86,"Connection: ID=0x007674CB, SEQ=0020511538"
5,0.001813,192.168.1.30,239.192.4.191,CIP I/O,98,"Connection: ID=0x00769ECB, SEQ=0063280738"
6,0.00184,192.168.1.50,239.192.7.63,CIP I/O,98,"Connection: ID=0x001780AC, SEQ=0007751631"
7,0.001957,192.168.1.50,192.168.1.20,CIP,144,Success: Service (0x4c)
8,0.002061,192.168.1.50,192.168.1.40,CIP,116,Success: Service (0x4c)
9,0.002061,192.168.1.20,192.168.1.50,TCP,60,56790  >  44818 [ACK] Seq=1 Ack=91 Win=8102 Len=0
10,0.002062,192.168.1.50,192.168.1.40,CIP I/O,86,"Connection: ID=0x016954A5, SEQ=0007705692"
11,0.002152,192.168.1.10,192.168.1.50,CIP I/O,86,"Connection: ID=0x011748B5, SEQ=0007618192"
12,0.002153,192.168.1.40,192.168.1.50,TCP,60,55872  >  44818 [ACK] Seq=1 Ack=63 Win=8130 Len=0
13,0.002154,192.168.1.50,192.168.1.40,CIP,116,Success: Service (0x4c)
14,0.002262,192.168.1.20,192.168.1.50,CIP,116,'HMI_AIT501' - Service (0x4c)
15,0.002262,192.168.1.20,192.168.1.50,CIP,116,'HMI_AIT502' - Service (0x4c)
16,0.002263,192.168.1.40,192.168.1.50,TCP,60,55872  >  44818 [ACK] Seq=1 Ack=125 Win=8130 Len=0
17,0.00235,192.168.1.60,192.168.1.10,CIP I/O,86,"Connection: ID=0x0070401D, SEQ=0011822556"
18,0.00235,192.168.1.50,192.168.1.20,TCP,60,44818  >  56790 [ACK] Seq=91 Ack=63 Win=8130 Len=0
19,0.002351,192.168.1.200,192.168.1.207,TCP,676,"4241  >  63584 [PSH, ACK] Seq=1 Ack=1 Win=511 Len=622"
20,0.002351,192.168.1.50,192.168.1.20,TCP,60,44818  >  56790 [ACK] Seq=91 Ack=125 Win=8068 Len=0
21,0.002468,192.168.1.20,192.168.1.200,CIP,594,Success: Service (0x4c)
22,0.002691,192.168.1.50,192.168.1.20,CIP,144,Success: 'HMI_AIT501' - Service (0x4c)
23,0.002769,192.168.1.30,192.168.1.200,CIP,594,Success: Service (0x4c)
24,0.002769,192.168.1.20,192.168.1.50,TCP,60,56790  >  44818 [ACK] Seq=125 Ack=181 Win=8102 Len=0
25,0.002769,192.168.1.30,192.168.1.60,CIP,114,'HMI_P602' - Service (0x4c)
26,0.002896,192.168.1.30,192.168.1.60,CIP,130,'P6_P602_AUTOINP' - Service (0x4d)
27,0.002896,192.168.1.20,192.168.1.50,CIP I/O,86,"Connection: ID=0x001748B4, SEQ=0007708638"
28,0.002897,192.168.1.30,192.168.1.40,CIP I/O,86,"Connection: ID=0x0069685A, SEQ=0045614944"
29,0.002897,192.168.1.60,192.168.1.30,TCP,60,44818  >  56704 [ACK] Seq=1 Ack=61 Win=8132 Len=0
30,0.002897,192.168.1.30,192.168.1.60,CIP,114,'HMI_P602' - Service (0x4c)
31,0.003002,192.168.1.60,192.168.1.30,TCP,60,44818  >  56704 [ACK] Seq=1 Ack=137 Win=8056 Len=0
32,0.003002,192.168.1.60,192.168.1.30,TCP,60,44818  >  56704 [ACK] Seq=1 Ack=197 Win=7996 Len=0
33,0.00315,192.168.1.207,192.168.1.200,TCP,150,"63584  >  4241 [PSH, ACK] Seq=1 Ack=623 Win=32850 Len=96"
34,0.00315,192.168.1.30,192.168.1.20,CIP,130,'P2_P2078_AUTOINP' - Service (0x4d)
35,0.003313,192.168.1.20,192.168.1.30,TCP,60,44818  >  56706 [ACK] Seq=1 Ack=77 Win=8116 Len=0
36,0.003379,192.168.1.30,192.168.1.40,CIP,116,Success: Service (0x4c)
37,0.003504,192.168.1.30,192.168.1.20,CIP CM,124,Unconnected Send: 'HMI_FIT201' - Service (0x4c)
38,0.003505,192.168.1.40,192.168.1.30,TCP,60,55874  >  44818 [ACK] Seq=1 Ack=63 Win=8130 Len=0
39,0.003505,192.168.1.30,192.168.1.20,CIP CM,124,Unconnected Send: 'HMI_MV201' - Service (0x4c)
40,0.00364,192.168.1.20,192.168.1.30,TCP,60,44818  >  56706 [ACK] Seq=1 Ack=147 Win=8122 Len=0
41,0.00364,192.168.1.20,192.168.1.30,TCP,60,44818  >  56706 [ACK] Seq=1 Ack=217 Win=8052 Len=0
42,0.003799,192.168.1.40,192.168.1.30,CIP,114,'HMI_P302' - Service (0x4c)
43,0.003878,192.168.1.30,192.168.1.40,TCP,60,44818  >  55874 [ACK] Seq=63 Ack=61 Win=8132 Len=0
44,0.004385,192.168.1.10,192.168.1.30,CIP I/O,86,"Connection: ID=0x00F65A5A, SEQ=0011735501"
45,0.00462,192.168.1.10,192.168.1.40,CIP I/O,86,"Connection: ID=0x01E960F4, SEQ=0011735062"
46,0.00462,192.168.1.40,192.168.1.99,CIP,124,Success: Service (0x54)
47,0.004756,192.168.1.60,192.168.1.20,CIP I/O,86,"Connection: ID=0x00F7464A, SEQ=0045398795"
48,0.004757,192.168.1.40,192.168.1.30,CIP,146,Success: Service (0x4c)
49,0.004876,192.168.1.60,239.192.8.127,CIP I/O,98,"Connection: ID=0x0059807D, SEQ=0046026552"
50,0.004876,192.168.1.30,192.168.1.60,CIP I/O,86,"Connection: ID=0x00597285, SEQ=0045614246"
51,0.004876,192.168.1.10,192.168.1.20,CIP CM,124,Unconnected Send: 'HMI_MV201' - Service (0x4c)
52,0.004971,192.168.1.30,192.168.1.40,TCP,60,63750  >  44818 [ACK] Seq=1 Ack=93 Win=8100 Len=0
53,0.004971,192.168.1.10,192.168.1.20,CIP,128,'HMI_PLANT_AUTO' - Service (0x4d)
54,0.004972,192.168.1.20,192.168.1.10,TCP,60,44818  >  64512 [ACK] Seq=1 Ack=71 Win=8122 Len=0
55,0.004972,192.168.1.10,192.168.1.20,CIP,116,'HMI_FIT201' - Service (0x4c)
56,0.005097,192.168.1.10,192.168.1.20,CIP,124,'HMI_PLANT' - Service (0x4d)
57,0.005097,192.168.1.20,192.168.1.10,TCP,60,44818  >  64512 [ACK] Seq=1 Ack=145 Win=8048 Len=0
58,0.005097,192.168.1.20,192.168.1.10,TCP,60,44818  >  64512 [ACK] Seq=1 Ack=207 Win=7986 Len=0
59,0.005202,192.168.1.20,192.168.1.10,TCP,60,44818  >  64512 [ACK] Seq=1 Ack=277 Win=7916 Len=0
60,0.005202,192.168.1.99,192.168.1.40,CIP,122,'CPS_ALID_P4_SA1' - Service (0x4c)
61,0.005328,192.168.1.60,192.168.1.10,CIP,104,Success: Service (0x4d)
62,0.005328,192.168.1.40,192.168.1.99,TCP,60,44818  >  48072 [ACK] Seq=71 Ack=69 Win=8124 Len=0
